OFFER_ID,OFFER_DESC,OFFER_TYPE,PRICE,VALIDITY_UNIT,VALIDITY
625,TAG LAC 625,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
625,TAG LAC 625,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
625,TAG LAC 625,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
626,TAG LAC 626,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
626,TAG LAC 626,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
626,TAG LAC 626,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
626,TAG LAC 626,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
627,TAG LAC 627,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
627,TAG LAC 627,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
627,TAG LAC 627,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
627,TAG LAC 627,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
628,TAG LAC 628,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
628,TAG LAC 628,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
628,TAG LAC 628,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
628,TAG LAC 628,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
629,TAG LAC 629,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
629,TAG LAC 629,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
629,TAG LAC 629,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
629,TAG LAC 629,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
630,TAG LAC 630,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
630,TAG LAC 630,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
630,TAG LAC 630,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
630,TAG LAC 630,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
631,TAG LAC 631,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
631,TAG LAC 631,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
631,TAG LAC 631,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
631,TAG LAC 631,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
632,TAG LAC 632,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
632,TAG LAC 632,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
632,TAG LAC 632,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
632,TAG LAC 632,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
633,TAG LAC 633,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
633,TAG LAC 633,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
633,TAG LAC 633,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
633,TAG LAC 633,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
634,TAG LAC 634,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
634,TAG LAC 634,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
634,TAG LAC 634,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
634,TAG LAC 634,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
635,TAG LAC 635,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
635,TAG LAC 635,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
635,TAG LAC 635,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
635,TAG LAC 635,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
636,TAG LAC 636,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
636,TAG LAC 636,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
636,TAG LAC 636,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
